Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
13,extend,1000,true,uniform,EXTEND,10020,30519185,10238364,9910543,90275,129917,79437,0,0,0,1495,1460,5116894,9154901,115672288,491384664,21895660,1434942,419711374940,486293519,44419865,3993583,0,0,0,0,1,4364,2291.4757103574702,9997,411.702410723217,288,28655,739,1049,9997,3
13,run,1000,true,uniform,READ,10020,33426301,11277453,10948480,90275,129917,79437,0,0,0,1495,1460,5116894,9154901,115672288,491384664,21895660,1434942,419711389110,486293742,44419865,3993583,1,0,0,0,0,4919,20329.335230737954,99899,46.2357080651458,35,12223,68,114,99899,101
13,reference,1000,true,uniform,READ,168,3936254,1344092,1316114,1119,1,0,0,0,0,1495,1460,5116894,9154901,115672288,491384664,21895660,1434942,419711389110,486293742,44419865,3993583,1,0,0,0,0,2433,41101.52075626798,100000,21.31756,16,10231,42,64,100000
13,clean-run,1000,true,uniform,READ,2042,2936070,1031185,1029228,10787,1,0,0,0,0,1495,1461,5122829,9154901,115676145,491387627,21895689,1434945,419732272693,486316736,44420801,3994858,1,0,0,0,0,4654,21486.892995272883,99907,43.572352287627496,33,10759,61,120,99907,93
13,avg-run,1000,true,uniform,READ,4080,5990702,2036460,2032462,20787,5,0,0,0,0,1495,1461,5122829,9154901,115676145,491389665,21895689,1434945,419747825652,486337794,44420803,3994858,1,0,0,0,0,4498,22232.10315695865,100000,42.00191,34,13991,64,115,100000
14,extend,1000,true,uniform,EXTEND,11234,33906480,11442662,11089533,100497,139906,89027,0,0,0,1495,1461,5122829,9155539,115676145,491390879,21895689,1434945,419799478564,486404452,44426176,3994858,0,0,0,0,1,4392,2276.8670309653917,9989,415.14766242867154,289,28751,732,1041,9989,11
14,run,1000,true,uniform,READ,11234,36862449,12546121,12191861,100497,139906,89027,0,0,0,1495,1461,5122829,9155557,115676145,491390879,21895689,1434945,419799494272,486404698,44426176,3994858,1,0,0,0,0,5026,19896.538002387584,99903,47.29488603945828,35,14055,70,127,99903,97
14,reference,1000,true,uniform,READ,168,4238716,1447345,1417344,1119,1,0,0,0,0,1495,1461,5122829,9155557,115676145,491390884,21895689,1434945,419804461364,486431743,44428950,3994858,1,0,0,0,0,2440,40983.60655737705,100000,21.32321,16,9607,42,70,100000
14,clean-run,1000,true,uniform,READ,2059,2989650,1096386,1095300,10990,1,0,0,0,0,1495,1462,5132519,9155557,115681764,491393976,21895728,1434957,419825375115,486453419,44429886,3996371,1,0,0,0,0,4853,20605.8108386565,99891,45.59847233484498,34,10655,65,125,99891,109
14,avg-run,1000,true,uniform,READ,4149,6047960,2100810,2096812,21003,5,0,0,0,0,1495,1462,5132519,9155557,115681764,491396066,21895728,1434957,419842047964,486476308,44429889,3996371,1,0,0,0,0,4532,22065.31332744925,100000,42.33381,35,11055,58,111,100000
15,extend,1000,true,uniform,EXTEND,11269,37388249,12721881,12342738,112095,149904,99874,0,0,0,1495,1462,5132519,9155557,115681764,491396096,21895728,1434957,419878594773,486544118,44434422,3996371,0,0,0,0,1,4246,2355.1577955723033,9987,400.6777811154501,289,28639,720,952,9987,13
15,run,1000,true,uniform,READ,11269,40375761,13895656,13515381,112095,149904,99874,0,0,0,1495,1462,5132519,9155557,115681764,491396096,21895728,1434957,419878607941,486544322,44434422,3996371,1,0,0,0,0,5304,18853.69532428356,99903,49.74948700239232,36,11655,68,133,99903,97
15,reference,1000,true,uniform,READ,168,4541251,1551482,1518588,1119,1,0,0,0,0,1495,1462,5132519,9155557,115681764,491396096,21895728,1434957,419878607941,486544322,44434422,3996371,1,0,0,0,0,2507,39888.31272437176,100000,22.00741,16,9591,44,75,100000
15,clean-run,1000,true,uniform,READ,2281,3036719,1171381,1169424,12051,1,0,0,0,0,1495,1463,5138782,9155557,115686262,491399298,21895757,1434963,419901406822,486570112,44435358,3997960,1,0,0,0,0,5139,19459.03872348706,99908,48.38571485766906,35,10615,67,126,99908,92
15,avg-run,1000,true,uniform,READ,4819,6092137,2176108,2172110,22051,5,0,0,0,0,1495,1463,5138782,9155557,115686262,491401836,21895757,1434963,419918959831,486591171,44435360,3997960,1,0,0,0,0,4623,21630.975556997622,100000,43.18845,35,11535,63,111,100000
16,extend,1000,true,uniform,EXTEND,11302,40869417,14078125,13673806,123987,159898,110981,0,0,0,1495,1463,5138782,9155580,115686262,491401868,21895757,1434963,419968099491,486662068,44440985,3997960,0,0,0,0,1,4209,2375.861249703017,9994,397.1745047028217,290,27071,706,988,9994,6
16,run,1000,true,uniform,READ,11302,43871934,15330877,14925434,123987,159898,110981,0,0,0,1495,1463,5138782,9155581,115686262,491401869,21895757,1434963,419968115173,486662313,44440985,3997960,1,0,0,0,0,5188,19275.250578257517,99891,48.888958965272145,35,11823,59,123,99891,109
16,reference,1000,true,uniform,READ,168,4843713,1654735,1619818,1119,1,0,0,0,0,1495,1463,5138782,9155581,115686262,491401869,21895757,1434963,419968115173,486662313,44440985,3997960,1,0,0,0,0,2444,40916.53027823241,100000,21.48472,16,10167,43,72,100000
