Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),RETURN=ERROR,Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
11,avg-run,1000,true,uniform,READ,3480,5761766,2005912,2001911,20377,5,0,0,0,0,1382,332,502253,583975,2247268,15877311,5667249,2486,10076120566,24496228,568920,23734,1,0,0,0,0,4724,21168.501270110075,0,100000,43.8995,33,13335,79,125,100000
12,extend,1000,true,zipfian,EXTEND,34393,26539588,10097917,9797429,175346,120023,164470,0,0,0,1382,332,502253,584321,2247268,15882791,5667249,2486,10157999438,24608806,574370,23734,0,0,0,0,1,5318,1880.4061677322302,0,10000,499.8046,289,27567,1123,1656,10000
12,run,1000,true,uniform,READ,35521,30074658,11145927,10844265,175346,120023,164470,0,0,0,1382,332,502253,584336,2247268,15883984,5667249,2486,10158028606,24609272,574370,23734,1,0,0,0,0,5556,17998.560115190783,0,100000,52.06897,30,16911,88,206,100000
12,reference,1000,true,uniform,READ,323,3633637,1240839,1214884,1119,1,0,0,0,0,1382,332,502253,584570,2254680,15884182,5667249,2486,10158028656,24609273,574370,23734,1,0,0,0,0,2719,36778.22728944465,0,100000,23.75086,16,10735,49,99,100000
12,clean-run,1000,true,uniform,READ,1918,2762878,1036766,1034808,10815,1,0,0,0,0,1382,333,514518,585438,2262183,15888299,5670291,4142,10193558202,24684901,598276,23761,1,0,0,0,0,4999,20004.000800160033,0,100000,46.6405,29,11511,81,172,100000
12,avg-run,1000,true,uniform,READ,3697,5816857,2041843,2037842,20815,5,0,0,0,0,1382,333,514518,585443,2269742,15890078,5670291,4142,10208131215,24705960,598278,23761,1,0,0,0,0,4730,21141.649048625794,0,100000,43.96189,34,14663,68,132,100000
13,extend,1000,true,zipfian,EXTEND,52852,30813593,11497285,11170696,202289,130034,190933,0,0,0,1382,333,514518,587627,2269742,15894571,5670291,4142,10268009955,24820907,599510,23761,0,0,0,0,1,24823,402.85219353019374,0,10000,2441.8836,295,258431,13911,18303,10000
13,run,1000,true,uniform,READ,54309,34418715,12591388,12263635,202289,130034,190933,0,0,0,1382,333,514518,588374,2269742,15896081,5670291,4142,10268028069,24821195,599510,23761,1,0,0,0,0,5561,17982.37727027513,0,100000,52.20045,30,13383,87,190,100000
13,reference,1000,true,uniform,READ,416,3936079,1344976,1316128,1119,1,0,0,0,0,1382,333,514518,588374,2269742,15896120,5670291,4142,10268028069,24821195,599510,23761,1,0,0,0,0,2594,38550.501156515034,0,100000,22.56364,16,9615,49,86,100000
13,clean-run,1000,true,uniform,READ,2063,2820597,1086978,1085020,11284,1,0,0,0,0,1382,334,525569,588672,2272585,15900268,5670344,4152,10288900250,24845141,600446,24789,1,0,0,0,0,4968,20128.824476650563,0,100000,46.453,29,11191,83,175,100000
13,avg-run,1000,true,uniform,READ,4167,5875155,2092091,2088090,21284,5,0,0,0,0,1382,334,525569,588672,2272585,15902371,5670344,4152,10304473267,24866200,600448,24789,1,0,0,0,0,4754,21034.917963819942,0,100000,44.24782,35,16319,60,127,100000
14,extend,1000,true,zipfian,EXTEND,64384,35166625,12952870,12600180,230186,140045,218325,0,0,0,1382,334,525569,590018,2272585,15905651,5670344,4152,10383896825,25013369,611637,24789,0,0,0,0,1,5365,1863.932898415657,0,10000,508.0304,290,28351,1198,1781,10000
14,run,1000,true,uniform,READ,65999,38842693,14096577,13742727,230186,140045,218325,0,0,0,1382,334,525569,590883,2279062,15907304,5670344,4152,10383914409,25013650,611637,24789,1,0,0,0,0,5685,17590.14951627089,0,100000,53.57556,32,13359,93,192,100000
14,reference,1000,true,uniform,READ,740,4238290,1449113,1417372,1119,1,0,0,0,0,1382,334,525569,590892,2279062,15907550,5670344,4152,10383914409,25013650,611637,24789,1,0,0,0,0,2685,37243.947858472995,0,100000,23.36111,17,10487,48,97,100000
14,clean-run,1000,true,uniform,READ,2096,2864659,1136640,1135553,11354,1,0,0,0,0,1382,335,536843,591142,2279586,15911857,5670398,4163,10404872899,25036066,612572,26015,1,0,0,0,0,5121,19527.436047646945,0,100000,47.91587,29,11359,85,181,100000
