Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),RETURN=ERROR,Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
13,reference,1000,true,zipfian,READ,172,3936501,1345990,1316272,1119,1,0,0,0,0,1404,731,3535991,2610978,25756475,53904975,7867587,41002,113292467008,165933852,9743167,1375441,1,0,0,0,0,3419,29248.31822170225,0,100000,30.5279,18,10719,58,123,100000
13,clean-run,1000,true,zipfian,READ,1918,2926920,1031863,1030777,10325,1,0,0,0,0,1404,732,3541359,2610978,25760321,53907814,7867611,41007,113312284942,165954216,9744102,1376821,1,0,0,0,0,6437,15535.187199005748,0,99912,60.491152213948276,35,12879,109,183,99912,88
13,avg-run,1000,true,zipfian,READ,3958,5985056,2036266,2032268,20338,5,0,0,0,0,1404,732,3541359,2610978,25760321,53909854,7867611,41007,113327957845,165977106,9744105,1376821,1,0,0,0,0,5741,17418.56819369448,0,100000,53.70648,34,11671,95,169,100000
14,extend,1000,true,uniform,EXTEND,8978,34092849,11519106,11163865,100996,139930,89525,0,0,0,1404,732,3541359,2610978,25760321,53909882,7867611,41007,113373175928,166043060,9749095,1376821,0,0,0,0,1,5351,1868.8095683049896,0,9986,506.1993791307831,297,26719,874,1191,9986,14
14,run,1000,true,zipfian,READ,8978,37034669,12619347,12262980,100996,139930,89525,0,0,0,1404,732,3541359,2610978,25760321,53909882,7867611,41007,113373194130,166043348,9749095,1376821,1,0,0,0,0,6917,14457.134595923088,0,99931,65.31183516626473,38,16511,115,187,99931,69
14,reference,1000,true,zipfian,READ,172,4238963,1449243,1417502,1119,1,0,0,0,0,1404,732,3541359,2610978,25760321,53910000,7867611,41007,113377253157,166064089,9750130,1376821,1,0,0,0,0,3320,30120.481927710844,0,100000,29.50562,18,10423,57,112,100000
14,clean-run,1000,true,zipfian,READ,2059,2980851,1094855,1093769,10979,1,0,0,0,0,1404,733,3548533,2610978,25764746,53912980,7867647,41010,113398165878,166085752,9751066,1377893,1,0,0,0,0,6525,15325.670498084291,0,99929,61.60398883207077,36,12087,116,185,99929,71
14,avg-run,1000,true,zipfian,READ,4147,6035086,2099206,2095208,20979,5,0,0,0,0,1404,733,3548533,2610978,25764746,53915068,7867647,41010,113414719629,166106815,9751068,1377893,1,0,0,0,0,5905,16934.801016088062,0,100000,55.36766,35,11791,100,165,100000
15,extend,1000,true,uniform,EXTEND,9096,37552595,12795387,12414047,112577,149931,100323,0,0,0,1404,733,3548533,2610978,25764746,53915068,7867647,41010,113452032515,166174826,9755803,1377893,0,0,0,0,1,5529,1808.6453246518358,0,9990,522.8728728728729,304,29039,880,1197,9990,10
15,run,1000,true,zipfian,READ,9096,40543522,13976784,13594315,112577,149931,100323,0,0,0,1404,733,3548533,2610978,25764746,53915068,7867647,41010,113452046255,166175043,9755803,1377893,1,0,0,0,0,7088,14108.352144469525,0,99913,67.01131984826799,39,13591,119,194,99913,87
15,reference,1000,true,zipfian,READ,172,4541498,1553380,1518746,1119,1,0,0,0,0,1404,733,3548533,2610978,25764746,53915068,7867647,41010,113452046309,166175044,9755803,1377893,1,0,0,0,0,3427,29180.040852057195,0,100000,30.52919,17,10167,60,114,100000
